name;YearMeanMean;YearMean05;YearMean95;YearPrecMean;YearPrec05;YearPrec95;GSMeanMean;GSMean05;GSMean95;Area (km²);EasternLim;WesternLim;NorthernLim;SouthernLim
Abies alba;8,311404959;4,618655445;12,27822039;726,8485423;518,1747092;1234,855458;13,93486235;9,022888892;18,46301782;651200;26,17;-0,17;52,17;38,5
Adonis vernalis;5,812990593;1,919356106;9,70310577;733,0873943;511,5181828;1326,096986;14,6751369;11,81893809;17,10778991;1557200;59,83;18,83;58,17;44,83
Cardamine hirsuta;11,12176194;6,12454967;17,53399682;708,2840527;464,3801501;1200,442322;16,06593828;11,10759521;21,73649724;4399200;45,83;-10,17;60,5;29,83
Carex diandra;5,662187056;1,232241874;9,315619807;728,8628145;512,4850994;1266,381992;12,5125361;8,304008197;15,35076722;4502000;50,83;-10,17;67,83;44,17
Carex disticha;7,832879036;5,240458576;10,61421885;724,6376995;516,5341164;1241,517429;13,57125484;11,31205174;15,81056056;2738000;35,17;-10,17;61,83;43,5
Carex divulsa;10,32760393;6,541424716;15,82602411;716,830256;504,1563153;1200,161173;15,77723591;12,02133364;20,52131167;3762000;38,83;-10,5;55,5;32,5
Carex elata;7,098148714;2,693491121;11,6876685;725,7077358;519,0163514;1252,146545;13,49504617;10,13530333;17,20194784;3904800;44,83;-10,17;64,83;41,5
Carex filiformis;9,127140063;4,365901689;12,89037118;738,484678;513,1854087;1303,819516;14,83781571;9,75922786;18,72675516;1949600;46,83;-1,83;51,5;39,5
Carex hartmanii;6,445280686;2,142073687;10,65251808;733,7085796;512,6707821;1315,532089;14,01498462;11,40858767;16,78917998;2840800;59,83;6,17;59,83;42,17
Carex lasiocarpa;4,351518552;-0,861070027;8,889193757;716,8759936;512,5635481;1228,574432;11,70227631;6,853675649;15,05871646;5483600;59,83;-10,5;70,83;44,5
Carex limosa;3,882119246;-1,365141412;9,01518101;727,4243186;510,8147074;1275,810748;11,32133853;6,396811002;14,74618841;5262800;58,5;-14,83;70,17;42,83
Cardamine impatiens;7,723958468;3,914012317;12,02751603;730,1191501;516,0148931;1252,135324;14,2576294;11,32085305;17,91418662;3732400;45,5;-4,17;60,5;40,83
Carex nigra;6,234415709;-0,757448446;12,39115459;711,4976196;481,3420286;1318,90136;12,91514849;6,925672131;18,13511583;8481600;59,5;-14,83;71,17;31,17
Carex paniculata;9,123914314;5,566239473;13,39259822;743,3648669;517,6605166;1313,129167;14,49189323;11,6013572;18,44614139;3239200;36,5;-10,5;57,83;37,17
Carex riparia;7,987254109;3,171817795;13,83580169;664,3722297;254,2045116;1196,125128;15,17533952;10,81434874;20,51761748;8478400;59,83;-10,5;63,17;36,83
Carex spicata;8,24377248;1,91975392;15,8121553;690,8503418;378,4432351;1285,048317;15,39839693;11,01255934;20,43376229;8837600;59,83;-6,83;62,17;33,83
Carex vesicaria;5,645167953;0,401628734;10,68644469;722,0219356;518,3497965;1197,826929;12,67569259;7,560625803;16,84709337;6222400;59,83;-8,83;69,83;41,5
Carex vulpina;8,899844175;2,052158099;16,26079145;713,4687938;448,5065998;1260,210034;15,34977157;11,28936377;20,76381588;7618400;59,83;-10,5;61,83;33,17
Chenopodiastrum hybridum;7,34330935;3,330221978;11,78849517;711,6053984;498,2973226;1227,925708;14,562214;11,98976126;17,85370817;5175600;59,83;-2,83;60,17;39,5
Cicuta virosa;5,045248176;0,315338527;9,231656106;715,7076501;501,2917073;1247,851999;12,91156288;8,985528539;17,26860348;5479200;59,83;-8,5;67,83;44,5
Circaea intermedia;7,792045974;3,801593042;9,699213416;724,5772388;515,6559725;1263,881406;12,66956098;8,022080583;15,10836799;1346800;26,5;-8,5;62,5;42,17
Cirsium pannonicum;8,045945192;5,173241089;11,30227514;737,8576941;520,8184333;1313,994979;15,15760649;11,72736662;18,16036408;679200;42,5;9,17;54,5;42,17
Cardamine pratensis;4,971547143;-2,092591362;10,97690441;715,1970892;507,160741;1238,034546;11,80461056;5,805089762;16,66708576;7683200;59,83;-10,5;71,17;41,17
Carex acutiformis;7,649598182;3,471159854;12,09081822;731,8887257;510,6359046;1288,102125;14,4688764;11,73327954;18,29743197;5515200;53,83;-10,17;61,83;40,83
Clinopodium acinos;8,252237427;3,7762752;14,23091357;711,0278827;480,4499886;1240,800209;14,60585828;10,08141474;19,65696381;6866000;50,5;-9,5;65,83;36,17
Carex alba;8,06815033;0,991310757;13,54815157;736,7755963;515,2888751;1274,91101;13,76491504;6,018391688;19,08559235;550800;50,5;0,17;70,17;41,83
Comarum palustre;4,495670676;-1,473793409;9,618791487;723,2523737;503,555224;1308,583125;11,85596328;6,098553828;15,8276502;7039200;59,83;-9,5;70,5;41,83
Cotinus coggygria;10,76777077;6,536219925;14,83574346;724,4480868;514,1176452;1305,841287;16,75544887;12,14571396;20,52593288;720800;48,83;5,17;47,5;37,83
Cotoneaster integerrimus;7,60687976;0,967013493;12,68176435;728,0190352;516,4980245;1295,241759;13,56625192;6,663706207;18,67869386;1629600;50,17;5,17;63,83;38,83
Cuscuta europaea;7,244304498;1,993892972;12,39898252;710,2707388;502,064881;1223,106302;14,33333193;10,65130291;18,58231939;5990400;59,83;-5,5;63,5;36,5
Carex brizoides;8,095099517;5,167945723;11,14804278;717,3237402;514,5330294;1247,403211;14,32403109;11,09127319;17,8319943;1307200;26,5;6,5;54,83;42,83
Cyanus triumfettii;9,283921135;4,365655472;14,86454894;722,1816093;514,4904098;1218,899545;15,72845256;11,26953566;20,43164176;1348000;53,17;-7,5;50,5;31,17
Cyclamen purpurascens;8,431536614;4,698904646;11,01198791;752,0618293;522,9632645;1367,099285;14,19511219;10,07532042;17,32062608;172400;19,83;5,5;49,17;43,5
Cynoglossum germanicum;9,452946195;3,389359097;13,6245708;731,9729953;518,3506543;1229,935483;14,29236334;7,465767993;18,89320987;185600;50,17;-2,83;52,17;36,83
Cypripedium calceolus;5,678494662;1,807338164;10,01977685;728,0880823;516,3157584;1252,228314;13,38010486;9,984876237;16,52714939;3250800;59,83;6,5;66,5;41,83
Cystopteris fragilis;6,18225357;-0,242682312;13,31286253;720,849535;482,1206828;1292,524581;13,04769984;7,008349499;18,6998814;8213600;59,83;-14,83;70,83;36,5
Cytisus austriacus;8,661724757;5,950659146;11,50062591;734,1316956;513,5301315;1333,317989;16,05407106;13,08031468;18,29860229;1328800;45,83;14,17;52,17;39,5
Cytisus ratisbonensis;6,100386822;1,611817611;10,15391756;713,2997742;501,8080699;1205,314583;14,46222155;11,47589798;17,63035717;2849600;59,83;10,83;60,5;41,5
Danthonia decumbens;7,89682611;4,014555638;12,26484298;728,3561055;518,7011651;1275,681396;13,5882119;10,39102028;17,04233371;3578800;36,83;-10,5;64,5;37,17
Carex digitata;5,15216549;0,296578173;10,31421924;720,2712769;513,6274658;1245,616086;12,54734445;8,332590437;16,43054124;5060400;59,83;3,83;66,83;41,83
Datura stramonium;9,722851163;4,027857309;17,33287421;696,9490371;366,3645996;1253,182098;15,9699654;11,27852843;21,83906246;7134400;53,83;-10,5;62,5;29,17
Carex echinata;6,477384204;0,9754041;11,7689894;732,8232507;515,5734428;1246,39741;12,78325698;8,100346346;17,14511866;6604000;55,83;-10,5;70,17;40,17
Dipsacus pilosus;8,564469251;4,625035407;11,6193179;740,5272796;519,5555956;1317,837583;14,40324794;9,433448722;17,83089879;2263600;49,5;-3,83;54,5;40,5
Doronicum austriacum;7,32370071;4,228308962;10,41625463;725,4122764;517,1481676;1251,696081;13,05432844;9,745224229;16,35181061;260800;26,17;1,5;50,17;40,17
Adoxa moschatellina;6,324872954;0,236038409;11,33052783;715,5572163;513,1749625;1219,452421;13,14155985;8,337104535;17,40795511;6237600;59,83;-5,83;66,5;40,5
Carex elongata;5,964476775;2,426850492;10,01980482;732,0530142;519,006826;1278,364823;13,057181;9,73939834;15,77333235;3837200;53,17;3,17;65,83;43,83
Drosera rotundifolia;5,568753154;0,386923518;10,89962258;734,9881027;517,9698624;1294,152492;12,38587777;8,340968229;15,62219494;4825600;57,83;-10,5;68,5;42,17
Drymochloa drymeja;8,205745562;2,900467402;13,32605819;724,891374;519,6596364;1231,402748;14,38733802;8,297836603;18,71416664;433600;50,17;13,83;49,83;37,17
Dryopteris expansa;3,723344479;-1,254443797;9,434768263;735,1258507;514,6764762;1329,192368;10,61679183;5,58784183;14,58431655;3758400;54,17;-5,5;71,17;39,83
